Họ Tên,MSSV,Khoa,Ngành,Lớp,Môn học,thoi_gian_tu_hoc,chuyen_can,diem_qua_trinh,hoan_thanh_bai_tap,loai_mon_hoc,tai_lieu_on_tap,hinh_thuc_thi,tre_hoc_phi,ho_tro,tre_hoc,hoc_nhom,lam_them,co_kinh_nghiem
Nguyễn Quang Tùng,226A010037,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,86,100,9.8,100,Chuyên ngành,Có,Trắc nghiệm,Có,Có,11,Không,Không,Có
Phạm Văn Phúc,226A010038,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 1,11,0,6.8,30,Đại cương,Không,Tự luận,Không,Không,88,Không,Không,Không
Hoàng Quang Hải,226A010039,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,20,50,3.8,50,Chuyên ngành,Có,Tự luận,Không,Không,16,Không,Không,Có
Huỳnh Minh An,226A010040,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 1,84,100,9.0,100,Đại cương,Không,Trắc nghiệm,Không,Không,25,Có,Không,Không
Nguyễn Văn Quân,226A010041,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 1,78,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Nguyễn Đức Phúc,226A010042,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 1,46,0,4.5,65,Đại cương,Không,Trắc nghiệm,Không,Không,0,Có,Có,Có
Hoàng Minh Sơn,226A010043,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,75,100,8.8,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,25,Có,Có,Không
Bùi Minh Cường,226A010044,Công nghệ thông tin,Công nghệ phần mềm,226A001,Triết học Mác - Lênin - Nhóm 1,21,33,7.5,65,Đại cương,Không,Tự luận,Không,Không,33,Có,Không,Không
Hoàng Ngọc Quân,226A010045,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,86,100,9.3,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Có,Không
Lê Quang An,226A010046,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,84,100,8.5,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Không
Đỗ Quang Nam,226A010047,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,70,100,10.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Bùi Đức Quân,226A010048,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 1,27,33,8.3,60,Đại cương,Có,Tự luận,Không,Không,66,Có,Không,Có
Võ Thành Sơn,226A010049,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,66,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Có,Không
Nguyễn Gia Hải,226A010050,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,54,0,5.8,40,Đại cương,Có,Tự luận,Không,Không,91,Có,Có,Không
Đặng Thái Bình,226A010051,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,95,44,3.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,55,Có,Không,Có
Võ Minh Nam,226A010052,Công nghệ thông tin,An toàn thông tin,226A002,Kỹ năng giao tiếp - Nhóm 1,17,25,9.0,25,Đại cương,Không,Tự luận,Không,Không,91,Không,Không,Không
Lê Minh Khang,226A010053,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,89,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Phạm Thái Hưng,226A010054,Ngoại ngữ,Ngôn ngữ Anh,226A003,Biên dịch - Nhóm 1,44,75,8.5,25,Chuyên ngành,Có,Tự luận,Không,Không,83,Có,Có,Không
Đỗ Thành Hải,226A010055,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,22,8,7.3,40,Chuyên ngành,Có,Tự luận,Không,Không,100,Không,Không,Không
Phạm Anh Vinh,226A010056,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 1,68,100,8.5,100,Đại cương,Không,Tự luận,Không,Không,11,Không,Có,Không
Phạm Gia Long,226A010057,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 1,65,100,9.5,100,Đại cương,Có,Tự luận,Không,Không,16,Không,Có,Có
Phạm Anh Hưng,226A010058,Cơ khí,Tự động hoá,226A005,Triết học Mác - Lênin - Nhóm 1,30,16,8.0,25,Đại cương,Không,Trắc nghiệm,Không,Không,41,Có,Có,Có
Đỗ Văn Tùng,226A010059,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 1,78,100,8.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,22,Không,Có,Không
Phạm Thái Nam,226A010060,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,74,100,9.0,100,Chuyên ngành,Không,Tự luận,Không,Không,50,Có,Không,Không
Đỗ Quang Sơn,226A010061,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 1,67,100,8.8,100,Đại cương,Không,Tự luận,Không,Không,0,Không,Có,Không
Bùi Minh An,226A010062,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,16,41,2.0,50,Chuyên ngành,Không,Tự luận,Không,Không,83,Có,Không,Không
Bùi Anh Cường,226A010063,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,65,100,8.0,100,Chuyên ngành,Có,Tự luận,Không,Không,22,Không,Có,Có
Đỗ Quang Cường,226A010064,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 1,74,100,9.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,8,Có,Không,Không
Bùi Gia Tùng,226A010065,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 1,70,100,8.5,100,Đại cương,Không,Tự luận,Không,Không,0,Có,Không,Không
Hoàng Hữu Nam,226A010066,Ngoại ngữ,Ngôn ngữ Anh,226A003,Triết học Mác - Lênin - Nhóm 1,88,66,2.0,100,Đại cương,Không,Trắc nghiệm,Có,Không,77,Không,Có,Không
Đỗ Văn Khang,226A010067,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,65,100,10.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,11,Có,Có,Không
Nguyễn Đức Vinh,226A010068,Cơ khí,Chế tạo máy,226A005,Pháp luật đại cương - Nhóm 1,13,0,3.5,65,Đại cương,Có,Trắc nghiệm,Không,Không,66,Có,Có,Có
Bùi Gia Nam,226A010069,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,77,100,9.5,100,Chuyên ngành,Có,Tự luận,Có,Không,0,Có,Có,Có
Lê Minh Cường,226A010070,Kỹ thuật điện,Điện công nghiệp,226A005,Kỹ năng giao tiếp - Nhóm 1,7,16,0.0,60,Đại cương,Không,Tự luận,Có,Không,50,Không,Có,Không
Nguyễn Quang Bình,226A010071,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,1,44,7.0,45,Đại cương,Có,Trắc nghiệm,Không,Không,55,Không,Có,Không
Huỳnh Văn Phúc,226A010072,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,68,100,9.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Có,Có
Phạm Anh Phúc,226A010073,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,75,100,10.0,100,Chuyên ngành,Có,Tự luận,Có,Không,22,Không,Không,Có
Huỳnh Quang Nam,226A010074,Cơ khí,Chế tạo máy,226A005,Pháp luật đại cương - Nhóm 1,81,100,8.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,11,Có,Không,Không
Huỳnh Minh Phúc,226A010075,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 1,30,16,8.5,30,Đại cương,Có,Trắc nghiệm,Không,Không,83,Không,Có,Không
Đỗ Minh Quân,226A010076,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kỹ năng giao tiếp - Nhóm 1,77,100,8.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,22,Có,Không,Không
Bùi Gia Long,226A010077,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,64,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,8,Không,Không,Không
Phạm Văn Dũng,226A010078,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,65,100,9.5,100,Chuyên ngành,Có,Tự luận,Không,Không,22,Không,Không,Có
Bùi Hữu Hải,226A010079,Công nghệ thông tin,Công nghệ phần mềm,226A001,Toán cao cấp - Nhóm 1,76,100,10.0,100,Đại cương,Có,Tự luận,Không,Không,11,Có,Có,Có
Đỗ Gia Hải,226A010080,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,18,50,7.5,55,Chuyên ngành,Không,Trắc nghiệm,Có,Có,50,Không,Không,Có
Huỳnh Đức Vinh,226A010081,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,82,100,8.0,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Không,Không
Trần Thành Bình,226A010082,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,89,100,8.3,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,0,Không,Không,Không
Lê Anh Dũng,226A010083,Công nghệ thông tin,Công nghệ phần mềm,226A001,Vật lý đại cương - Nhóm 1,6,44,6.5,65,Đại cương,Có,Tự luận,Có,Có,66,Không,Có,Không
Nguyễn Hữu Bình,226A010084,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 1,9,44,6.5,50,Đại cương,Không,Trắc nghiệm,Không,Không,100,Không,Không,Không
Nguyễn Thành Hưng,226A010085,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 1,26,44,7.5,35,Đại cương,Không,Trắc nghiệm,Không,Không,77,Không,Có,Không
Nguyễn Văn Long,226A010086,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,33,100,5.8,40,Chuyên ngành,Không,Trắc nghiệm,Không,Không,83,Không,Không,Có
Lê Anh Vinh,226A010087,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kỹ năng giao tiếp - Nhóm 1,26,0,9.0,45,Đại cương,Có,Trắc nghiệm,Không,Không,100,Không,Có,Không
Huỳnh Thành Sơn,226A010088,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,62,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Không,Không,Không
Phạm Ngọc Hưng,226A010089,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,23,55,3.5,20,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Có,Có
Đỗ Đức Tùng,226A010090,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 1,84,100,8.5,100,Đại cương,Không,Tự luận,Không,Không,11,Không,Không,Có
Bùi Thái Bình,226A010091,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,90,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Trần Quang Long,226A010092,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,82,100,9.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,11,Có,Có,Có
Bùi Ngọc Cường,226A010093,Ngoại ngữ,Ngôn ngữ Anh,226A003,Tiếng Anh giao tiếp - Nhóm 1,66,100,8.8,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Không,Không
Huỳnh Đức Tùng,226A010094,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 1,16,22,8.0,50,Đại cương,Không,Tự luận,Có,Có,55,Có,Không,Không
Đặng Đức Nam,226A010095,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,87,100,9.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Không,Không,Có
Võ Văn Nam,226A010096,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 1,3,16,0.0,25,Đại cương,Có,Tự luận,Không,Không,83,Không,Không,Không
Võ Ngọc Dũng,226A010097,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,51,100,9.5,65,Đại cương,Không,Tự luận,Không,Không,11,Có,Có,Có
Trần Hữu Sơn,226A010098,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,11,0,7.0,35,Chuyên ngành,Không,Trắc nghiệm,Không,Không,50,Không,Không,Không
Trần Quang Nam,226A010099,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,54,100,9.0,25,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Không,Có,Không
Nguyễn Đức Bình,226A010100,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,26,50,2.3,35,Chuyên ngành,Có,Tự luận,Không,Không,16,Không,Có,Không
Lê Minh Dũng,226A010101,Công nghệ thông tin,Công nghệ phần mềm,226A001,Pháp luật đại cương - Nhóm 1,57,100,10.0,30,Đại cương,Có,Trắc nghiệm,Không,Không,16,Có,Có,Có
Phạm Anh Phúc,226A010102,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,64,100,8.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,11,Không,Có,Không
Huỳnh Hữu Tùng,226A010103,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 1,43,55,6.3,25,Đại cương,Không,Trắc nghiệm,Không,Không,100,Không,Không,Có
Lê Anh Quân,226A010104,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,7,0,9.0,35,Chuyên ngành,Không,Tự luận,Không,Không,100,Có,Có,Không
Nguyễn Thái Vinh,226A010105,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 1,70,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Không
Huỳnh Đức Nam,226A010106,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 1,69,8,1.3,100,Đại cương,Có,Tự luận,Không,Không,58,Không,Không,Không
Đỗ Văn Cường,226A010107,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 1,77,100,10.0,100,Đại cương,Có,Tự luận,Không,Không,16,Không,Có,Không
Đỗ Minh Long,226A010108,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,0,16,8.5,60,Chuyên ngành,Không,Tự luận,Không,Không,100,Không,Có,Có
Bùi Thái Nam,226A010109,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 1,11,25,2.5,30,Đại cương,Có,Tự luận,Có,Có,83,Không,Có,Không
Đặng Hữu Hải,226A010110,Ngoại ngữ,Ngôn ngữ Anh,226A003,Biên dịch - Nhóm 1,69,100,9.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Có,Không
Nguyễn Đức Khang,226A010111,Kỹ thuật điện,Điện công nghiệp,226A005,Kỹ năng giao tiếp - Nhóm 1,23,22,1.5,65,Đại cương,Có,Tự luận,Không,Không,66,Không,Có,Không
Đặng Ngọc Cường,226A010112,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,32,50,4.8,95,Chuyên ngành,Không,Tự luận,Không,Không,25,Không,Không,Không
Hoàng Đức Khang,226A010113,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 1,67,100,9.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,16,Không,Không,Có
Bùi Đức Dũng,226A010114,Ngoại ngữ,Ngôn ngữ Anh,226A003,Toán cao cấp - Nhóm 1,8,75,10.0,25,Đại cương,Không,Trắc nghiệm,Không,Không,25,Không,Không,Không
Võ Thành Khang,226A010115,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,78,100,9.8,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Không,Không
Phạm Minh Cường,226A010116,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,83,100,9.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Không,Không,Không
Đặng Văn Tùng,226A010117,Công nghệ thông tin,An toàn thông tin,226A002,Vật lý đại cương - Nhóm 1,21,50,3.0,65,Đại cương,Có,Trắc nghiệm,Không,Không,0,Không,Không,Có
Lê Văn Long,226A010118,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,88,100,9.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Có,Có
Lê Anh Hải,226A010119,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 1,79,100,7.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,11,Có,Không,Có
Nguyễn Hữu Khang,226A010120,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,71,100,9.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Không,Không
Đỗ Anh Nam,226A010121,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 1,36,75,4.8,45,Đại cương,Không,Tự luận,Không,Không,16,Có,Không,Không
Võ Thái Tùng,226A010122,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,79,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Có,Không
Trần Ngọc Vinh,226A010123,Kỹ thuật điện,Điện công nghiệp,226A005,Kỹ năng giao tiếp - Nhóm 1,15,0,5.0,40,Đại cương,Có,Tự luận,Không,Không,100,Không,Có,Không
Hoàng Thái Bình,226A010124,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,73,100,9.5,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,0,Không,Có,Không
Bùi Gia Quân,226A010125,Cơ khí,Tự động hoá,226A005,Toán cao cấp - Nhóm 1,1,66,4.5,55,Đại cương,Không,Tự luận,Có,Có,41,Có,Không,Có
Trần Ngọc Nam,226A010126,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,77,100,8.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Có
Trần Minh Phúc,226A010127,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,19,50,4.0,40,Chuyên ngành,Không,Trắc nghiệm,Không,Không,58,Có,Không,Có
Nguyễn Thái Quân,226A010128,Công nghệ thông tin,An toàn thông tin,226A002,Mật mã học - Nhóm 1,72,100,9.8,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,16,Có,Có,Có
Bùi Quang Nam,226A010129,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,61,100,9.3,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,0,Có,Có,Có
